#GCH	IBD	ICH	IX	IY	IZ	Dir
0	0	0	-7	7	0	1
1	0	1	-5	7	0	1
2	0	2	-3	7	0	1
3	0	3	-1	7	0	1
4	0	4	-7	5	0	1
5	0	5	-5	5	0	1
6	0	6	-3	5	0	1
7	0	7	-1	5	0	1
8	0	8	-7	3	0	1
9	0	9	-5	3	0	1
10	0	10	-3	3	0	1
11	0	11	-1	3	0	1
12	0	12	-7	1	0	1
13	0	13	-5	1	0	1
14	0	14	-3	1	0	1
15	0	15	-1	1	0	1
16	1	0	7	7	0	0
17	1	1	5	7	0	0
18	1	2	3	7	0	0
19	1	3	1	7	0	0
20	1	4	7	5	0	0
21	1	5	5	5	0	0
22	1	6	3	5	0	0
23	1	7	1	5	0	0
24	1	8	7	3	0	0
25	1	9	5	3	0	0
26	1	10	3	3	0	0
27	1	11	1	3	0	0
28	1	12	7	1	0	0
29	1	13	5	1	0	0
30	1	14	3	1	0	0
31	1	15	1	1	0	0
32	2	0	-1	-1	0	0
33	2	1	-3	-1	0	0
34	2	2	-5	-1	0	0
35	2	3	-7	-1	0	0
36	2	4	-1	-3	0	0
37	2	5	-3	-3	0	0
38	2	6	-5	-3	0	0
39	2	7	-7	-3	0	0
40	2	8	-1	-5	0	0
41	2	9	-3	-5	0	0
42	2	10	-5	-5	0	0
43	2	11	-7	-5	0	0
44	2	12	-1	-7	0	0
45	2	13	-3	-7	0	0
46	2	14	-5	-7	0	0
47	2	15	-7	-7	0	0
48	3	0	1	-1	0	1
49	3	1	3	-1	0	1
50	3	2	5	-1	0	1
51	3	3	7	-1	0	1
52	3	4	1	-3	0	1
53	3	5	3	-3	0	1
54	3	6	5	-3	0	1
55	3	7	7	-3	0	1
56	3	8	1	-5	0	1
57	3	9	3	-5	0	1
58	3	10	5	-5	0	1
59	3	11	7	-5	0	1
60	3	12	1	-7	0	1
61	3	13	3	-7	0	1
62	3	14	5	-7	0	1
63	3	15	7	-7	0	1
64	4	0	-7	7	1	1
65	4	1	-5	7	1	1
66	4	2	-3	7	1	1
67	4	3	-1	7	1	1
68	4	4	-7	5	1	1
69	4	5	-5	5	1	1
70	4	6	-3	5	1	1
71	4	7	-1	5	1	1
72	4	8	-7	3	1	1
73	4	9	-5	3	1	1
74	4	10	-3	3	1	1
75	4	11	-1	3	1	1
76	4	12	-7	1	1	1
77	4	13	-5	1	1	1
78	4	14	-3	1	1	1
79	4	15	-1	1	1	1
80	5	0	7	7	1	0
81	5	1	5	7	1	0
82	5	2	3	7	1	0
83	5	3	1	7	1	0
84	5	4	7	5	1	0
85	5	5	5	5	1	0
86	5	6	3	5	1	0
87	5	7	1	5	1	0
88	5	8	7	3	1	0
89	5	9	5	3	1	0
90	5	10	3	3	1	0
91	5	11	1	3	1	0
92	5	12	7	1	1	0
93	5	13	5	1	1	0
94	5	14	3	1	1	0
95	5	15	1	1	1	0
96	6	0	-1	-1	1	0
97	6	1	-3	-1	1	0
98	6	2	-5	-1	1	0
99	6	3	-7	-1	1	0
100	6	4	-1	-3	1	0
101	6	5	-3	-3	1	0
102	6	6	-5	-3	1	0
103	6	7	-7	-3	1	0
104	6	8	-1	-5	1	0
105	6	9	-3	-5	1	0
106	6	10	-5	-5	1	0
107	6	11	-7	-5	1	0
108	6	12	-1	-7	1	0
109	6	13	-3	-7	1	0
110	6	14	-5	-7	1	0
111	6	15	-7	-7	1	0
112	7	0	1	-1	1	1
113	7	1	3	-1	1	1
114	7	2	5	-1	1	1
115	7	3	7	-1	1	1
116	7	4	1	-3	1	1
117	7	5	3	-3	1	1
118	7	6	5	-3	1	1
119	7	7	7	-3	1	1
120	7	8	1	-5	1	1
121	7	9	3	-5	1	1
122	7	10	5	-5	1	1
123	7	11	7	-5	1	1
124	7	12	1	-7	1	1
125	7	13	3	-7	1	1
126	7	14	5	-7	1	1
127	7	15	7	-7	1	1
128	8	0	-7	7	2	1
129	8	1	-5	7	2	1
130	8	2	-3	7	2	1
131	8	3	-1	7	2	1
132	8	4	-7	5	2	1
133	8	5	-5	5	2	1
134	8	6	-3	5	2	1
135	8	7	-1	5	2	1
136	8	8	-7	3	2	1
137	8	9	-5	3	2	1
138	8	10	-3	3	2	1
139	8	11	-1	3	2	1
140	8	12	-7	1	2	1
141	8	13	-5	1	2	1
142	8	14	-3	1	2	1
143	8	15	-1	1	2	1
144	9	0	7	7	2	0
145	9	1	5	7	2	0
146	9	2	3	7	2	0
147	9	3	1	7	2	0
148	9	4	7	5	2	0
149	9	5	5	5	2	0
150	9	6	3	5	2	0
151	9	7	1	5	2	0
152	9	8	7	3	2	0
153	9	9	5	3	2	0
154	9	10	3	3	2	0
155	9	11	1	3	2	0
156	9	12	7	1	2	0
157	9	13	5	1	2	0
158	9	14	3	1	2	0
159	9	15	1	1	2	0
160	10	0	-1	-1	2	0
161	10	1	-3	-1	2	0
162	10	2	-5	-1	2	0
163	10	3	-7	-1	2	0
164	10	4	-1	-3	2	0
165	10	5	-3	-3	2	0
166	10	6	-5	-3	2	0
167	10	7	-7	-3	2	0
168	10	8	-1	-5	2	0
169	10	9	-3	-5	2	0
170	10	10	-5	-5	2	0
171	10	11	-7	-5	2	0
172	10	12	-1	-7	2	0
173	10	13	-3	-7	2	0
174	10	14	-5	-7	2	0
175	10	15	-7	-7	2	0
176	11	0	1	-1	2	1
177	11	1	3	-1	2	1
178	11	2	5	-1	2	1
179	11	3	7	-1	2	1
180	11	4	1	-3	2	1
181	11	5	3	-3	2	1
182	11	6	5	-3	2	1
183	11	7	7	-3	2	1
184	11	8	1	-5	2	1
185	11	9	3	-5	2	1
186	11	10	5	-5	2	1
187	11	11	7	-5	2	1
188	11	12	1	-7	2	1
189	11	13	3	-7	2	1
